# === Training Log ===

## METADATA (JSON)
{
  "model_class": "Model",
  "model_module": "__main__",
  "model_str": "Model(\n  (net): Sequential(\n    (0): Linear(in_features=2, out_features=5, bias=True)\n    (1): Tanh()\n    (2): Linear(in_features=5, out_features=5, bias=True)\n    (3): Tanh()\n    (4): Linear(in_features=5, out_features=1, bias=True)\n  )\n)",
  "num_parameters": 51,
  "num_trainable_parameters": 51,
  "optimizer_class": "Adam",
  "optimizer_module": "torch.optim.adam",
  "optimizer_params": {
    "amsgrad": false,
    "betas": [
      0.9,
      0.999
    ],
    "capturable": false,
    "decoupled_weight_decay": false,
    "differentiable": false,
    "eps": 1e-08,
    "foreach": null,
    "fused": null,
    "lr": 0.001,
    "maximize": false,
    "weight_decay": 1e-06
  },
  "stopped": false
}

## BEGIN TRAIN DATA
       iteration            loss        residual        boundary         initial   observational             mse             mae
    1.000000e+00    3.374167e-01    4.848161e-02    2.080784e-01    0.000000e+00    8.085676e-02    4.266353e-02    1.850232e-01
    2.000000e+00    2.383626e-01    6.525097e-02    1.337747e-01    0.000000e+00    3.933686e-02    3.584288e-02    1.759125e-01
    3.000000e+00    2.191155e-01    6.629540e-02    1.170220e-01    0.000000e+00    3.579805e-02    3.257647e-02    1.649944e-01
    4.000000e+00    2.078388e-01    6.492965e-02    1.075011e-01    0.000000e+00    3.540805e-02    3.241146e-02    1.635706e-01
    5.000000e+00    2.044101e-01    6.511074e-02    1.072098e-01    0.000000e+00    3.208964e-02    3.293082e-02    1.651937e-01
    6.000000e+00    1.986247e-01    6.511361e-02    1.030234e-01    0.000000e+00    3.048769e-02    3.127738e-02    1.590890e-01
    7.000000e+00    1.978528e-01    6.495464e-02    1.025193e-01    0.000000e+00    3.037885e-02    3.165283e-02    1.581663e-01
    8.000000e+00    1.951145e-01    6.434660e-02    1.003950e-01    0.000000e+00    3.037294e-02    3.195447e-02    1.602577e-01
    9.000000e+00    1.953161e-01    6.566228e-02    9.862921e-02    0.000000e+00    3.102457e-02    3.226888e-02    1.603007e-01
    1.000000e+01    1.934846e-01    6.543299e-02    9.620082e-02    0.000000e+00    3.185078e-02    2.781314e-02    1.480035e-01
    1.100000e+01    1.892775e-01    6.451019e-02    9.559977e-02    0.000000e+00    2.916749e-02    3.169987e-02    1.613202e-01
    1.200000e+01    1.866386e-01    6.539948e-02    9.344603e-02    0.000000e+00    2.779313e-02    2.574259e-02    1.442289e-01
    1.300000e+01    1.839840e-01    6.422581e-02    9.172913e-02    0.000000e+00    2.802905e-02    2.778913e-02    1.504078e-01
    1.400000e+01    1.802460e-01    6.395049e-02    9.055474e-02    0.000000e+00    2.574077e-02    2.349577e-02    1.360572e-01
    1.500000e+01    1.759350e-01    6.217730e-02    8.769511e-02    0.000000e+00    2.606257e-02    2.334613e-02    1.360385e-01
    1.600000e+01    1.723587e-01    6.035360e-02    8.623169e-02    0.000000e+00    2.577343e-02    2.259111e-02    1.303008e-01
    1.700000e+01    1.635378e-01    5.840413e-02    8.051606e-02    0.000000e+00    2.461764e-02    1.789491e-02    1.109023e-01
    1.800000e+01    1.566814e-01    5.467365e-02    7.982341e-02    0.000000e+00    2.218437e-02    1.935375e-02    1.195364e-01
    1.900000e+01    1.462712e-01    5.236049e-02    7.366931e-02    0.000000e+00    2.024142e-02    1.805745e-02    1.118816e-01
    2.000000e+01    1.442186e-01    5.117828e-02    7.084903e-02    0.000000e+00    2.219132e-02    1.926053e-02    1.149184e-01
    2.100000e+01    1.386049e-01    5.027966e-02    6.854337e-02    0.000000e+00    1.978184e-02    2.151289e-02    1.242946e-01
    2.200000e+01    1.363415e-01    5.167517e-02    6.460163e-02    0.000000e+00    2.006470e-02    1.612546e-02    1.028889e-01
    2.300000e+01    1.338501e-01    5.056888e-02    6.382329e-02    0.000000e+00    1.945796e-02    1.918622e-02    1.155859e-01
    2.400000e+01    1.305297e-01    5.028287e-02    6.077657e-02    0.000000e+00    1.947026e-02    1.683387e-02    1.064090e-01
    2.500000e+01    1.258349e-01    4.961911e-02    5.859852e-02    0.000000e+00    1.761730e-02    1.781879e-02    1.102586e-01
    2.600000e+01    1.247054e-01    5.087414e-02    5.626932e-02    0.000000e+00    1.756190e-02    1.869374e-02    1.149329e-01
    2.700000e+01    1.197099e-01    4.882239e-02    5.338823e-02    0.000000e+00    1.749932e-02    1.908914e-02    1.166727e-01
    2.800000e+01    1.229530e-01    5.113083e-02    5.502117e-02    0.000000e+00    1.680096e-02    1.798633e-02    1.143678e-01
    2.900000e+01    1.173226e-01    4.911343e-02    5.152306e-02    0.000000e+00    1.668609e-02    1.823357e-02    1.145041e-01
    3.000000e+01    1.167750e-01    4.993256e-02    5.084780e-02    0.000000e+00    1.599468e-02    1.300476e-02    9.398019e-02
    3.100000e+01    1.129789e-01    4.836817e-02    4.911772e-02    0.000000e+00    1.549299e-02    1.306895e-02    9.395052e-02
